score_threshold,top_k_normal,cash_buffer_normal,hysteresis,avg_sharpe,avg_return,avg_trades,avg_win_rate,std_sharpe,composite_score
0.03,8,0.1,0.05,32.667234793292145,27.29461931701125,9.333333333333334,100.0,3.3244445443605,17.1987046904013
0.03,4,0.1,0.05,32.667234793292145,27.29461931701125,9.333333333333334,100.0,3.3244445443605,17.1987046904013
0.03,6,0.1,0.05,32.667234793292145,27.29461931701125,9.333333333333334,100.0,3.3244445443605,17.1987046904013
0.03,8,0.15,0.05,32.66429661598509,27.198232636341586,9.333333333333334,100.0,3.330672950124584,17.194277486085895
0.03,6,0.15,0.05,32.66429661598509,27.198232636341586,9.333333333333334,100.0,3.330672950124584,17.194277486085895
0.03,4,0.15,0.05,32.66429661598509,27.198232636341586,9.333333333333334,100.0,3.330672950124584,17.194277486085895
0.02,8,0.15,0.05,32.718368256933054,25.593490960351247,20.0,100.0,2.787234834998042,17.179797834991305
0.02,6,0.15,0.05,32.718368256933054,25.593490960351247,20.0,100.0,2.787234834998042,17.179797834991305
0.02,4,0.15,0.05,32.718368256933054,25.593490960351247,20.0,100.0,2.787234834998042,17.179797834991305
0.03,6,0.1,0.02,32.64999183698048,26.460782401399186,23.333333333333332,100.0,2.8875516278484286,17.170265652639014
0.03,4,0.1,0.02,32.64999183698048,26.460782401399186,23.333333333333332,100.0,2.8875516278484286,17.170265652639014
0.03,8,0.1,0.02,32.64999183698048,26.460782401399186,23.333333333333332,100.0,2.8875516278484286,17.170265652639014
0.02,8,0.1,0.05,32.657778912272086,25.692038638701717,17.666666666666668,100.0,2.753920616646077,17.152928246985184
0.02,6,0.1,0.05,32.657778912272086,25.692038638701717,17.666666666666668,100.0,2.753920616646077,17.152928246985184
0.02,4,0.1,0.05,32.657778912272086,25.692038638701717,17.666666666666668,100.0,2.753920616646077,17.152928246985184
0.03,4,0.15,0.02,32.452480442143816,26.189586188819856,25.0,100.0,2.934706853181557,17.06275751463159
0.03,8,0.15,0.02,32.452480442143816,26.189586188819856,25.0,100.0,2.934706853181557,17.06275751463159
0.03,6,0.15,0.02,32.452480442143816,26.189586188819856,25.0,100.0,2.934706853181557,17.06275751463159
0.03,6,0.15,0.03,32.31296300201169,25.81513487178998,16.333333333333332,100.0,2.762528173438078,16.984091295310993
0.03,8,0.15,0.03,32.31296300201169,25.81513487178998,16.333333333333332,100.0,2.762528173438078,16.984091295310993
0.03,4,0.15,0.03,32.31296300201169,25.81513487178998,16.333333333333332,100.0,2.762528173438078,16.984091295310993
0.03,8,0.1,0.03,32.279877757273226,26.090515345422602,16.666666666666668,100.0,2.7963417466690386,16.975336635100657
0.03,4,0.1,0.03,32.279877757273226,26.090515345422602,16.666666666666668,100.0,2.7963417466690386,16.975336635100657
0.03,6,0.1,0.03,32.279877757273226,26.090515345422602,16.666666666666668,100.0,2.7963417466690386,16.975336635100657
0.02,8,0.1,0.02,32.29137323507883,25.61176914446283,40.333333333333336,100.0,2.7450133716891165,16.967444040576545
0.02,6,0.1,0.02,32.29137323507883,25.61176914446283,40.333333333333336,100.0,2.7450133716891165,16.967444040576545
0.02,4,0.1,0.02,32.29137323507883,25.61176914446283,40.333333333333336,100.0,2.7450133716891165,16.967444040576545
0.02,4,0.15,0.03,32.31028997042449,24.47404917721323,31.0,100.0,2.313495759937272,16.949725674630606
0.02,6,0.15,0.03,32.31028997042449,24.47404917721323,31.0,100.0,2.313495759937272,16.949725674630606
0.02,8,0.15,0.03,32.31028997042449,24.47404917721323,31.0,100.0,2.313495759937272,16.949725674630606
0.01,4,0.1,0.05,32.36088110423052,23.760993850442826,34.666666666666664,100.0,3.2063597122115333,16.940817418685395
0.01,8,0.1,0.05,32.36088110423052,23.760993850442826,34.666666666666664,100.0,3.2063597122115333,16.940817418685395
0.01,6,0.1,0.05,32.36088110423052,23.760993850442826,34.666666666666664,100.0,3.2063597122115333,16.940817418685395
0.02,6,0.15,0.02,32.23206731274542,25.230319579149267,41.666666666666664,100.0,3.110591051159743,16.921598047280508
0.02,8,0.15,0.02,32.23206731274542,25.230319579149267,41.666666666666664,100.0,3.110591051159743,16.921598047280508
0.02,4,0.15,0.02,32.23206731274542,25.230319579149267,41.666666666666664,100.0,3.110591051159743,16.921598047280508
0.02,6,0.1,0.03,31.97725598789025,25.24508621926142,30.333333333333332,100.0,2.7148375431943985,16.799818735670936
0.02,4,0.1,0.03,31.97725598789025,25.24508621926142,30.333333333333332,100.0,2.7148375431943985,16.799818735670936
0.02,8,0.1,0.03,31.97725598789025,25.24508621926142,30.333333333333332,100.0,2.7148375431943985,16.799818735670936
0.01,8,0.15,0.05,31.910080936128377,22.941113491484884,37.666666666666664,100.0,2.8000806472595174,16.695904334781755
0.01,6,0.15,0.05,31.910080936128377,22.941113491484884,37.666666666666664,100.0,2.8000806472595174,16.695904334781755
0.01,4,0.15,0.05,31.910080936128377,22.941113491484884,37.666666666666664,100.0,2.8000806472595174,16.695904334781755
